Persona;idPartido;idEquipo1;Gana1;Empata;Gana2;idEquipo2
Claudio;1;1;;;X;2
Claudio;2;3;;X;;4
Claudio;3;4;X;;;2
Claudio;4;1;X;;;3
Claudio;5;4;;;X;1
Claudio;6;2;;;X;3
Claudio;7;1;X;;;2
Claudio;8;3;X;;;4
Claudio;9;4;;X;;2
Claudio;10;1;X;;;3
Claudio;11;4;;X;;1
Claudio;12;2;;;X;3
Jorge;1;1;X;;;2
Jorge;2;3;;X;;4
Jorge;3;4;X;;;2
Jorge;4;1;X;;;3
Jorge;5;4;;;X;1
Jorge;6;2;;;X;3
Jorge;7;1;X;;;2
Jorge;8;3;X;;;4
Jorge;9;4;;X;;2
Jorge;10;1;X;;;3
Jorge;11;4;;X;;1
Jorge;12;2;;;X;3
Federico;1;1;;;X;2
Federico;2;3;;;X;4
Federico;3;4;;;X;2
Federico;4;1;;;X;3
Federico;5;4;;;X;1
Federico;6;2;;;X;3
Federico;7;1;X;;;2
Federico;8;3;X;;;4
Federico;9;4;X;;;2
Federico;10;1;X;;;3
Federico;11;4;X;;;1
Federico;12;2;X;;;3
